procs,nodes,mem_budget_mb,wall_time_s,user_time_s,sys_time_s,mem_used_kb,exit_code,trial
1,1,64,7.56,4.31,3.96,84684,0,1
1,1,64,7.69,4.37,4.19,84512,0,2
1,1,64,7.55,4.28,3.99,83636,0,3
1,1,128,7.61,4.36,4.01,84524,0,1
1,1,128,7.63,4.35,4.07,84684,0,2
1,1,128,7.71,4.34,4.23,84524,0,3
1,1,512,7.66,4.32,4.13,84824,0,1
1,1,512,7.52,4.26,3.93,83780,0,2
1,1,512,7.76,4.30,4.33,84832,0,3
1,1,1024,7.57,4.33,3.95,84504,0,1
1,1,1024,7.67,4.30,4.19,83656,0,2
1,1,1024,7.70,4.27,4.26,84100,0,3
1,1,1536,7.58,4.33,4.02,83644,0,1
1,1,1536,7.41,4.36,3.68,83668,0,2
1,1,1536,7.61,4.33,4.07,83636,0,3
1,1,3072,7.28,4.34,3.45,83496,0,1
1,1,3072,7.57,4.38,3.94,83484,0,2
1,1,3072,7.61,4.30,4.13,83812,0,3
2,1,64,6.99,9.15,4.42,68496,0,1
2,1,64,7.02,9.17,4.57,67808,0,2
2,1,64,6.69,8.93,3.84,68456,0,3
2,1,128,6.96,9.14,4.44,67900,0,1
2,1,128,6.68,8.95,3.81,67920,0,2
2,1,128,7.03,9.17,4.57,68124,0,3
2,1,512,6.97,9.17,4.49,68708,0,1
2,1,512,7.09,9.39,4.40,68600,0,2
2,1,512,6.92,9.04,4.46,68860,0,3
2,1,1024,6.92,9.18,4.22,68832,0,1
2,1,1024,6.99,9.13,4.49,69024,0,2
2,1,1024,6.94,9.04,4.55,68148,0,3
2,1,1536,6.91,9.04,4.42,69048,0,1
2,1,1536,6.93,9.06,4.44,67788,0,2
2,1,1536,6.86,8.98,4.31,68888,0,3
2,1,3072,7.10,9.45,4.36,68128,0,1
2,1,3072,7.04,9.21,4.51,67720,0,2
2,1,3072,6.89,9.02,4.34,68712,0,3
4,1,64,6.84,19.21,5.59,59744,0,1
4,1,64,6.62,18.64,5.19,61164,0,2
4,1,64,6.45,18.07,4.90,60132,0,3
4,1,128,6.52,18.30,5.06,61036,0,1
4,1,128,6.79,19.04,5.55,60804,0,2
4,1,128,6.63,18.59,5.23,59852,0,3
4,1,512,6.49,18.21,4.91,61072,0,1
4,1,512,6.66,18.59,5.38,60520,0,2
4,1,512,6.89,19.37,5.71,60312,0,3
4,1,1024,6.52,18.25,4.93,60040,0,1
4,1,1024,6.44,18.06,4.89,59484,0,2
4,1,1024,6.49,18.20,4.94,61200,0,3
4,1,1536,6.74,18.89,5.52,60800,0,1
4,1,1536,6.80,19.09,5.57,59888,0,2
4,1,1536,6.62,18.72,4.99,60568,0,3
4,1,3072,6.52,18.41,4.86,60608,0,1
4,1,3072,6.73,18.87,5.47,59912,0,2
4,1,3072,6.48,18.24,4.87,59560,0,3
8,1,64,6.64,38.22,7.53,57072,0,1
8,1,64,6.66,38.33,7.66,56224,0,2
8,1,64,6.71,38.74,7.63,57464,0,3
8,1,128,6.81,39.38,7.91,56512,0,1
8,1,128,6.77,39.16,7.81,57300,0,2
8,1,128,6.88,40.01,7.88,57736,0,3
8,1,512,6.69,38.53,7.74,56324,0,1
8,1,512,6.78,39.13,7.87,56184,0,2
8,1,512,6.75,38.96,7.79,56060,0,3
8,1,1024,6.81,39.34,7.88,56512,0,1
8,1,1024,6.80,39.52,7.78,57076,0,2
8,1,1024,6.83,39.63,7.79,57616,0,3
8,1,1536,6.84,39.69,7.87,57596,0,1
8,1,1536,6.63,38.43,7.46,57320,0,2
8,1,1536,6.79,39.41,7.78,57380,0,3
8,1,3072,6.73,38.90,7.79,57128,0,1
8,1,3072,6.71,38.84,7.64,56352,0,2
8,1,3072,6.64,38.40,7.49,56496,0,3
16,1,64,7.07,82.43,13.34,55660,0,1
16,1,64,8.68,106.84,15.14,55984,0,2
16,1,64,6.89,79.95,13.22,55376,0,3
16,1,128,7.50,88.96,13.63,56676,0,1
16,1,128,7.46,88.70,13.62,55524,0,2
16,1,128,6.80,78.43,12.92,55664,0,3
16,1,512,7.46,88.43,13.85,56184,0,1
16,1,512,7.06,82.42,13.02,55836,0,2
16,1,512,7.17,83.70,13.44,54936,0,3
16,1,1024,6.98,81.27,13.10,56044,0,1
16,1,1024,7.15,83.67,13.62,55452,0,2
16,1,1024,7.68,91.59,13.85,55316,0,3
16,1,1536,7.34,84.73,14.37,56288,0,1
16,1,1536,6.93,80.17,13.12,55968,0,2
16,1,1536,7.12,83.40,13.30,56372,0,3
16,1,3072,8.43,102.33,15.04,54588,0,1
16,1,3072,7.18,84.31,13.45,57868,0,2
16,1,3072,8.06,97.53,14.50,56368,0,3
20,1,64,9.60,147.94,17.24,54636,0,1
20,1,64,8.92,134.28,17.44,54872,0,2
20,1,64,9.10,138.34,17.22,57592,0,3
20,1,128,9.05,137.26,17.09,55252,0,1
20,1,128,9.61,145.84,17.43,55216,0,2
20,1,128,8.53,127.01,17.29,55220,0,3
20,1,512,10.29,161.23,17.72,55088,0,1
20,1,512,9.43,144.22,17.44,54912,0,2
20,1,512,9.35,143.31,17.30,54980,0,3
20,1,1024,9.59,148.14,17.33,55248,0,1
20,1,1024,9.55,147.22,17.21,54960,0,2
20,1,1024,9.67,149.89,17.13,55284,0,3
20,1,1536,9.95,153.59,17.71,55100,0,1
