threads,nodes,mem_budget_mb,wall_time_s,user_time_s,sys_time_s,mem_used_kb,exit_code,trial
1,1,64,2.09,1.57,0.44,34460,0,1
1,1,64,2.01,1.57,0.43,34508,0,2
1,1,64,2.05,1.54,0.50,34504,0,3
1,1,128,2.01,1.53,0.47,34508,0,1
1,1,128,2.04,1.54,0.50,34504,0,2
1,1,128,2.02,1.58,0.43,34504,0,3
1,1,512,2.05,1.55,0.49,34504,0,1
1,1,512,2.02,1.58,0.42,34508,0,2
1,1,512,2.01,1.57,0.43,34508,0,3
1,1,1024,2.04,1.54,0.49,34508,0,1
1,1,1024,2.02,1.55,0.46,34504,0,2
1,1,1024,2.05,1.54,0.49,34504,0,3
1,1,1536,2.04,1.51,0.52,34504,0,1
1,1,1536,2.01,1.58,0.42,34504,0,2
1,1,1536,2.01,1.55,0.45,34456,0,3
1,1,3072,2.04,1.55,0.48,34508,0,1
1,1,3072,2.02,1.58,0.43,34504,0,2
1,1,3072,2.01,1.58,0.42,34508,0,3
2,1,64,1.44,2.00,0.37,34668,0,1
2,1,64,1.47,1.94,0.46,34664,0,2
2,1,64,1.50,1.99,0.42,34664,0,3
2,1,128,1.45,1.97,0.40,34664,0,1
2,1,128,1.42,1.94,0.39,34664,0,2
2,1,128,1.42,1.94,0.39,34664,0,3
2,1,512,1.47,1.96,0.44,34668,0,1
2,1,512,1.43,1.97,0.38,34668,0,2
2,1,512,1.47,1.92,0.46,34664,0,3
2,1,1024,1.43,1.96,0.39,34668,0,1
2,1,1024,1.48,1.95,0.45,34668,0,2
2,1,1024,1.42,1.94,0.40,34668,0,3
2,1,1536,1.48,1.96,0.44,34664,0,1
2,1,1536,1.42,1.94,0.40,34668,0,2
2,1,1536,1.42,1.96,0.38,34668,0,3
2,1,3072,1.47,1.96,0.43,34668,0,1
2,1,3072,1.42,1.96,0.38,34664,0,2
2,1,3072,1.47,1.97,0.43,34668,0,3
4,1,64,1.20,2.83,0.40,34668,0,1
4,1,64,1.25,2.85,0.44,34668,0,2
4,1,64,1.21,2.84,0.41,34664,0,3
4,1,128,1.23,2.80,0.46,34668,0,1
4,1,128,1.24,2.82,0.45,34668,0,2
4,1,128,1.22,2.80,0.44,34664,0,3
4,1,512,1.20,2.82,0.40,34664,0,1
4,1,512,1.24,2.82,0.44,34664,0,2
4,1,512,1.20,2.82,0.41,34668,0,3
4,1,1024,1.24,2.82,0.45,34664,0,1
4,1,1024,1.20,2.83,0.40,34668,0,2
4,1,1024,1.24,2.81,0.45,34668,0,3
4,1,1536,1.21,2.83,0.42,34668,0,1
4,1,1536,1.23,2.82,0.44,34664,0,2
4,1,1536,1.24,2.83,0.43,34668,0,3
4,1,3072,1.20,2.83,0.40,34664,0,1
4,1,3072,1.25,2.88,0.44,34664,0,2
4,1,3072,1.21,2.83,0.40,34668,0,3
8,1,64,1.15,4.78,0.49,34664,0,1
8,1,64,1.12,4.77,0.45,34664,0,2
8,1,64,1.16,4.85,0.47,34664,0,3
8,1,128,1.11,4.78,0.43,34664,0,1
8,1,128,1.11,4.82,0.41,34456,0,2
8,1,128,1.16,4.82,0.46,34664,0,3
8,1,512,1.12,4.81,0.44,34664,0,1
8,1,512,1.16,4.87,0.47,34668,0,2
8,1,512,1.12,4.79,0.44,34664,0,3
8,1,1024,1.12,4.78,0.43,34668,0,1
8,1,1024,1.11,4.78,0.44,34460,0,2
8,1,1024,1.12,4.81,0.41,34664,0,3
8,1,1536,1.16,4.82,0.49,34664,0,1
8,1,1536,1.12,4.85,0.41,34664,0,2
8,1,1536,1.17,4.88,0.48,34668,0,3
8,1,3072,1.12,4.85,0.41,34456,0,1
8,1,3072,1.15,4.80,0.46,34664,0,2
8,1,3072,1.16,4.84,0.46,34668,0,3
16,1,64,1.14,9.83,0.48,34460,0,1
16,1,64,1.14,9.82,0.48,34664,0,2
16,1,64,1.18,9.80,0.53,34664,0,3
16,1,128,1.14,9.88,0.45,34664,0,1
16,1,128,1.19,10.03,0.45,34664,0,2
16,1,128,1.16,9.74,0.51,34664,0,3
16,1,512,1.13,9.75,0.50,34668,0,1
16,1,512,1.17,9.79,0.51,34664,0,2
16,1,512,1.17,9.85,0.48,34668,0,3
16,1,1024,1.14,9.75,0.47,34668,0,1
16,1,1024,1.14,9.94,0.47,34668,0,2
16,1,1024,1.18,9.95,0.49,34668,0,3
16,1,1536,1.17,9.89,0.50,34664,0,1
16,1,1536,1.14,9.88,0.48,34668,0,2
16,1,1536,1.18,9.83,0.52,34668,0,3
16,1,3072,1.15,10.05,0.44,34668,0,1
16,1,3072,1.17,9.84,0.52,34664,0,2
16,1,3072,1.18,9.85,0.54,34664,0,3
20,1,64,1.13,12.25,0.46,34460,0,1
20,1,64,1.17,12.07,0.53,34668,0,2
20,1,64,1.13,12.03,0.51,34664,0,3
20,1,128,1.14,12.02,0.48,34456,0,1
20,1,128,1.17,12.02,0.56,34664,0,2
20,1,128,1.12,12.06,0.47,34664,0,3
20,1,512,1.15,11.98,0.50,34664,0,1
20,1,512,1.13,12.19,0.47,34664,0,2
20,1,512,1.17,12.29,0.48,34668,0,3
20,1,1024,1.14,12.25,0.46,34668,0,1
20,1,1024,1.15,11.84,0.53,34668,0,2
20,1,1024,1.13,12.16,0.46,34664,0,3
20,1,1536,1.17,12.09,0.53,34668,0,1
20,1,1536,1.19,12.74,0.49,34664,0,2
20,1,1536,1.13,12.06,0.48,34664,0,3
20,1,3072,1.17,12.19,0.50,34664,0,1
20,1,3072,1.13,12.09,0.53,34668,0,2
20,1,3072,1.16,12.09,0.50,34664,0,3
