threads,mem_budget_mb,wall_time_s,user_time_s,sys_time_s,mem_used_kb,exit_code,trial
1,64,2.54,2.08,0.42,26240,0,1
1,64,2.55,2.01,0.51,26240,0,2
1,64,2.39,1.93,0.44,26240,0,3
1,128,2.36,1.91,0.42,26240,0,1
1,128,2.36,1.93,0.39,26240,0,2
1,128,2.40,1.89,0.48,26240,0,3
1,512,2.38,1.92,0.43,26080,0,1
1,512,2.41,1.92,0.46,26240,0,2
1,512,2.38,1.90,0.45,26240,0,3
1,1024,2.03,1.59,0.41,25920,0,1
1,1024,2.48,2.03,0.42,26240,0,2
1,1024,2.49,1.98,0.48,26240,0,3
1,1536,2.42,1.93,0.45,26240,0,1
1,1536,2.40,1.88,0.49,26240,0,2
1,1536,2.40,1.91,0.46,26240,0,3
1,3072,2.41,1.90,0.49,26240,0,1
1,3072,2.38,1.92,0.42,26240,0,2
1,3072,2.42,1.91,0.48,26240,0,3
2,64,1.61,1.70,0.45,26080,0,1
2,64,1.56,1.71,0.40,26080,0,2
2,64,1.64,1.70,0.48,26240,0,3
2,128,1.60,1.72,0.43,26240,0,1
2,128,1.57,1.73,0.39,26240,0,2
2,128,1.63,1.69,0.48,26080,0,3
2,512,1.60,1.72,0.42,26240,0,1
2,512,1.64,1.71,0.48,26080,0,2
2,512,1.60,1.71,0.43,26080,0,3
2,1024,1.64,1.72,0.46,26240,0,1
2,1024,1.60,1.72,0.43,26240,0,2
2,1024,1.64,1.70,0.47,26240,0,3
2,1536,1.60,1.72,0.43,26080,0,1
2,1536,1.56,1.73,0.38,26080,0,2
2,1536,1.56,1.72,0.39,26080,0,3
2,3072,1.63,1.72,0.45,26080,0,1
2,3072,1.60,1.71,0.44,26240,0,2
2,3072,1.56,1.71,0.40,26080,0,3
4,64,1.25,1.75,0.42,26080,0,1
4,64,1.25,1.74,0.42,26240,0,2
4,64,1.35,1.76,0.50,26080,0,3
4,128,1.29,1.77,0.43,26080,0,1
4,128,1.25,1.77,0.40,26080,0,2
4,128,1.37,1.78,0.50,26240,0,3
4,512,1.38,1.78,0.50,26080,0,1
4,512,1.40,1.79,0.51,26080,0,2
4,512,1.42,1.83,0.50,26080,0,3
4,1024,1.31,1.78,0.46,26080,0,1
4,1024,1.36,1.79,0.49,26080,0,2
4,1024,1.29,1.74,0.46,26080,0,3
4,1536,1.37,1.83,0.46,26080,0,1
4,1536,1.31,1.77,0.46,26080,0,2
4,1536,1.35,1.77,0.48,26240,0,3
4,3072,1.29,1.79,0.41,26240,0,1
4,3072,1.26,1.76,0.41,26080,0,2
4,3072,1.27,1.76,0.43,25920,0,3
8,64,1.17,1.99,0.42,26080,0,1
8,64,1.24,2.01,0.49,26240,0,2
8,64,1.16,1.92,0.48,26080,0,3
8,128,1.29,2.04,0.54,26080,0,1
8,128,1.17,1.90,0.50,26080,0,2
8,128,1.26,2.06,0.48,26080,0,3
8,512,1.25,2.06,0.47,25920,0,1
8,512,1.18,2.04,0.41,25920,0,2
8,512,1.17,1.97,0.44,26080,0,3
8,1024,1.32,2.15,0.53,26080,0,1
8,1024,1.26,2.07,0.49,26080,0,2
8,1024,1.24,1.99,0.51,26080,0,3
8,1536,1.24,2.02,0.49,26080,0,1
8,1536,1.25,2.00,0.51,26080,0,2
8,1536,1.20,1.96,0.49,26080,0,3
8,3072,1.17,1.96,0.45,26080,0,1
8,3072,1.12,1.95,0.41,26080,0,2
8,3072,1.19,2.00,0.44,25920,0,3
16,64,1.15,2.40,0.45,26080,0,1
16,64,1.22,2.40,0.63,26080,0,2
16,64,1.20,2.29,0.56,25920,0,3
16,128,1.13,2.09,0.61,26080,0,1
16,128,1.18,2.27,0.53,26080,0,2
16,128,1.21,2.30,0.57,26080,0,3
16,512,1.13,2.15,0.56,25920,0,1
16,512,1.16,2.18,0.58,25760,0,2
16,512,1.21,2.53,0.55,26080,0,3
16,1024,1.08,2.14,0.49,26080,0,1
16,1024,1.07,2.09,0.52,25920,0,2
16,1024,1.19,2.30,0.61,26080,0,3
16,1536,1.22,2.54,0.56,26080,0,1
16,1536,1.16,2.14,0.62,25920,0,2
16,1536,1.21,2.54,0.55,26080,0,3
16,3072,1.16,2.19,0.56,26080,0,1
16,3072,1.14,2.22,0.52,26080,0,2
16,3072,1.07,2.09,0.51,26080,0,3
20,64,1.21,2.44,0.64,26080,0,1
20,64,1.17,2.44,0.55,25920,0,2
20,64,1.15,2.42,0.57,25920,0,3
20,128,1.21,2.49,0.59,25920,0,1
20,128,1.17,2.44,0.55,25920,0,2
20,128,1.20,2.45,0.60,25920,0,3
20,512,1.23,2.49,0.62,26080,0,1
20,512,1.17,2.45,0.55,26080,0,2
20,512,1.15,2.40,0.58,25920,0,3
20,1024,1.21,2.55,0.53,25920,0,1
20,1024,1.18,2.47,0.55,25920,0,2
20,1024,1.20,2.48,0.60,26080,0,3
20,1536,1.18,2.46,0.56,25920,0,1
20,1536,1.14,2.45,0.54,26080,0,2
20,1536,1.20,2.50,0.58,25920,0,3
20,3072,1.18,2.42,0.61,26080,0,1
20,3072,1.14,2.44,0.56,27040,0,2
20,3072,1.20,2.56,0.51,25920,0,3
